Y,X,Name,Management_Area
25.05202,-80.33108,Benwood Ledge,FKNMS
25.38374,-80.15926,BISC-P10a,BNP
25.3891,-80.1749,BISC-P11a,BNP
25.37149,-80.18525,BISC-P12a,BNP
25.36596,-80.17025,BISC-P13a,BNP
25.34455,-80.19677,BISC-P14a,BNP
25.32747,-80.19591,BISC-P15a,BNP
25.4388,-80.15648,BISC-P7a,BNP
25.41211,-80.15293,BISC-P9a,BNP
25.29342,-80.16365,BISC-W12,BNP
25.3259,-80.15105,BISC-W13,BNP
25.362517,-80.14045,BISC-W30a,BNP
25.38493,-80.132617,BISC-W40-b,BNP
25.306517,-80.15473,BISC-W60-11c,BNP
25.44028,80.11593,BISC-W60-2b,BNP
25.341617,-80.146217,BISC-W60-4b,BNP
25.41218,-80.12433,BISC-W60-6d,BNP
24.9515,-80.45342,Conch 3A,FKNMS
24.95083,-80.45528,Conch 4B,FKNMS
24.94922,-80.45422,Conch 6A,FKNMS
25.18487,-80.26943,DANGER 88,FKNMS
25.06985,-80.3169,Dixie Ledge,FKNMS
24.83727,-80.73035,FKSP1,FKNMS
25.2076,-80.28345,KL-P11,FKNMS
25.239,-80.27525,KL-P13,FKNMS
25.27105,-80.25161,KL-P14,FKNMS
25.0427,-80.4077,KL-P2,FKNMS
25.09616,-80.3584,KL-P4,FKNMS
25.0995,-80.3418,KL-P5,FKNMS
25.10627,-80.33422,KL-P6,FKNMS
25.11229,-80.33028,KL-P7,FKNMS
25.12267,-80.3382,KL-P8,FKNMS
25.15847,-80.25019,KL-W11,FKNMS
25.18503,-80.2245,KL-W12,FKNMS
25.01708,-80.36359,KL-W2,FKNMS
25.11549,-80.27799,KL-W7,FKNMS
25.12948,-80.26458,KL-W8,FKNMS
24.76258,-80.75648,Ten 2A,FKNMS
24.76418,-80.75455,Ten 3A,FKNMS
24.76603,-80.75181,Ten 5A,FKNMS
25.197817,-80.219733,KL-W13,FKNMS
25.13613,-80.33527,KL-30,FKNMS